forward_num_temp_incr_mut_reverse_0.10,reverse_num_temp_incr_mut_reverse_0.10,forward_rate_temp_incr_mut_reverse_0.10,reverse_rate_temp_incr_mut_reverse_0.10,organism_num_temp_incr_mut_reverse_0.10,organism_rate_temp_incr_mut_reverse_0.10,forward_num_temp_incr_mut_reverse_0.30,reverse_num_temp_incr_mut_reverse_0.30,forward_rate_temp_incr_mut_reverse_0.30,reverse_rate_temp_incr_mut_reverse_0.30,organism_num_temp_incr_mut_reverse_0.30,organism_rate_temp_incr_mut_reverse_0.30,forward_num_temp_incr_mut_reverse_0.55,reverse_num_temp_incr_mut_reverse_0.55,forward_rate_temp_incr_mut_reverse_0.55,reverse_rate_temp_incr_mut_reverse_0.55,organism_num_temp_incr_mut_reverse_0.55,organism_rate_temp_incr_mut_reverse_0.55,forward_num_temp_incr_mut_reverse_0.25,reverse_num_temp_incr_mut_reverse_0.25,forward_rate_temp_incr_mut_reverse_0.25,reverse_rate_temp_incr_mut_reverse_0.25,organism_num_temp_incr_mut_reverse_0.25,organism_rate_temp_incr_mut_reverse_0.25,forward_num_temp_incr_mut_reverse_0.45,reverse_num_temp_incr_mut_reverse_0.45,forward_rate_temp_incr_mut_reverse_0.45,reverse_rate_temp_incr_mut_reverse_0.45,organism_num_temp_incr_mut_reverse_0.45,organism_rate_temp_incr_mut_reverse_0.45,forward_num_temp_incr_mut_reverse_0.15,reverse_num_temp_incr_mut_reverse_0.15,forward_rate_temp_incr_mut_reverse_0.15,reverse_rate_temp_incr_mut_reverse_0.15,organism_num_temp_incr_mut_reverse_0.15,organism_rate_temp_incr_mut_reverse_0.15,forward_num_temp_incr_mut_reverse_0.35,reverse_num_temp_incr_mut_reverse_0.35,forward_rate_temp_incr_mut_reverse_0.35,reverse_rate_temp_incr_mut_reverse_0.35,organism_num_temp_incr_mut_reverse_0.35,organism_rate_temp_incr_mut_reverse_0.35,forward_num_temp_incr_mut_reverse_0.50,reverse_num_temp_incr_mut_reverse_0.50,forward_rate_temp_incr_mut_reverse_0.50,reverse_rate_temp_incr_mut_reverse_0.50,organism_num_temp_incr_mut_reverse_0.50,organism_rate_temp_incr_mut_reverse_0.50,forward_num_temp_incr_mut_reverse_0.20,reverse_num_temp_incr_mut_reverse_0.20,forward_rate_temp_incr_mut_reverse_0.20,reverse_rate_temp_incr_mut_reverse_0.20,organism_num_temp_incr_mut_reverse_0.20,organism_rate_temp_incr_mut_reverse_0.20,forward_num_temp_incr_mut_reverse_0.40,reverse_num_temp_incr_mut_reverse_0.40,forward_rate_temp_incr_mut_reverse_0.40,reverse_rate_temp_incr_mut_reverse_0.40,organism_num_temp_incr_mut_reverse_0.40,organism_rate_temp_incr_mut_reverse_0.40,forward_num_temp_incr_mut_reverse_0.60,reverse_num_temp_incr_mut_reverse_0.60,forward_rate_temp_incr_mut_reverse_0.60,reverse_rate_temp_incr_mut_reverse_0.60,organism_num_temp_incr_mut_reverse_0.60,organism_rate_temp_incr_mut_reverse_0.60
0.0,12.1,0.0,5.77384615384615,12.1,5.77384615384615,0.0,12.8,0.0,5.88956876456877,12.8,5.88956876456877,0.0,11.8,0.0,5.81165501165501,11.8,5.81165501165501,0.0,12.1,0.0,5.48397435897436,12.1,5.48397435897436,0.0,11.6,0.0,5.66255577755578,11.6,5.66255577755578,0.0,13.3,0.0,5.94196678321678,13.3,5.94196678321678,0.0,12.5,0.0,5.73039460539461,12.5,5.73039460539461,0.0,11.6,0.0,5.65258741258741,11.6,5.65258741258741,0.0,11.3,0.0,5.57167832167832,11.3,5.57167832167832,0.0,12.1,0.0,5.67444222444223,12.1,5.67444222444223,0.0,11.8,0.0,5.81759906759907,11.8,5.81759906759907
0.0,12.4,0.0,5.83391941391941,12.4,5.83391941391941,0.0,13.0,0.0,5.93286713286713,13.0,5.93286713286713,0.0,11.9,0.0,5.82529137529137,11.9,5.82529137529137,0.0,12.3,0.0,5.54195804195804,12.3,5.54195804195804,0.0,11.7,0.0,5.63017482517482,11.7,5.63017482517482,0.0,13.6,0.0,5.99180868151456,13.6,5.99180868151456,0.0,12.5,0.0,5.73039460539461,12.5,5.73039460539461,0.0,11.7,0.0,5.68591242091242,11.7,5.68591242091242,0.0,11.5,0.0,5.61841491841492,11.5,5.61841491841492,0.0,12.2,0.0,5.66838161838162,12.2,5.66838161838162,0.0,11.9,0.0,5.79012654012654,11.9,5.79012654012654
0.0,12.6,0.0,5.90169330669331,12.6,5.90169330669331,0.0,13.2,0.0,5.90594405594406,13.2,5.90594405594406,0.0,12.0,0.0,5.79516317016317,12.0,5.79516317016317,0.0,12.6,0.0,5.59166666666667,12.6,5.59166666666667,0.0,12.0,0.0,5.65400432900433,12.0,5.65400432900433,0.0,14.1,0.0,5.96466582437171,14.1,5.96466582437171,0.0,12.7,0.0,5.73318681318681,12.7,5.73318681318681,0.0,11.7,0.0,5.68591242091242,11.7,5.68591242091242,0.0,11.6,0.0,5.63956876456876,11.6,5.63956876456876,0.0,12.2,0.0,5.66838161838162,12.2,5.66838161838162,0.0,12.0,0.0,5.79315684315684,12.0,5.79315684315684
0.0,13.2,0.0,5.91203296703297,13.2,5.91203296703297,0.0,13.5,0.0,5.89772977022977,13.5,5.89772977022977,0.0,12.4,0.0,5.82126207126207,12.4,5.82126207126207,0.0,12.7,0.0,5.61639194139194,12.7,5.61639194139194,0.0,12.1,0.0,5.67259407259407,12.1,5.67259407259407,0.0,14.4,0.0,6.02661387631976,14.4,6.02661387631976,0.0,13.2,0.0,5.77611888111888,13.2,5.77611888111888,0.0,12.0,0.0,5.72536463536464,12.0,5.72536463536464,0.0,11.9,0.0,5.69265734265734,11.9,5.69265734265734,0.0,12.6,0.0,5.65304695304695,12.6,5.65304695304695,0.0,12.0,0.0,5.79315684315684,12.0,5.79315684315684
0.0,13.6,0.0,5.92915750915751,13.6,5.92915750915751,0.0,13.7,0.0,5.92657592407592,13.7,5.92657592407592,0.0,12.6,0.0,5.83035298035298,12.6,5.83035298035298,0.0,13.3,0.0,5.61954212454212,13.3,5.61954212454212,0.0,12.3,0.0,5.710428297193,12.3,5.710428297193,0.0,14.5,0.0,6.01122926093514,14.5,6.01122926093514,0.0,13.4,0.0,5.80688811188811,13.4,5.80688811188811,0.0,12.1,0.0,5.73991008991009,12.1,5.73991008991009,0.0,12.2,0.0,5.69924242424243,12.2,5.69924242424243,0.0,12.9,0.0,5.69224109224109,12.9,5.69224109224109,0.0,12.0,0.0,5.79315684315684,12.0,5.79315684315684
0.0,14.0,0.0,5.94351648351648,14.0,5.94351648351648,0.0,14.1,0.0,5.88161928757517,14.1,5.88161928757517,0.0,13.0,0.0,5.82802197802198,13.0,5.82802197802198,0.0,13.7,0.0,5.61227564102564,13.7,5.61227564102564,0.0,12.4,0.0,5.7228465978466,12.4,5.7228465978466,0.0,14.7,0.0,5.98894634776988,14.7,5.98894634776988,0.0,13.4,0.0,5.80688811188811,13.4,5.80688811188811,0.0,12.3,0.0,5.73839493839494,12.3,5.73839493839494,0.0,12.7,0.0,5.78083583083583,12.7,5.78083583083583,0.0,13.2,0.0,5.73472360972361,13.2,5.73472360972361,0.0,12.2,0.0,5.79385614385614,12.2,5.79385614385614
0.0,14.2,0.0,5.97827838827839,14.2,5.97827838827839,0.0,14.2,0.0,5.86397222875164,14.2,5.86397222875164,0.0,13.2,0.0,5.8518315018315,13.2,5.8518315018315,0.0,14.0,0.0,5.6491804029304,14.0,5.6491804029304,0.0,12.7,0.0,5.75862748362748,12.7,5.75862748362748,0.0,14.8,0.0,5.9609243697479,14.8,5.9609243697479,0.0,13.6,0.0,5.79873792873793,13.6,5.79873792873793,0.0,12.6,0.0,5.73349983349984,12.6,5.73349983349984,0.0,12.8,0.0,5.7776307026307,12.8,5.7776307026307,0.0,13.7,0.0,5.77071428571429,13.7,5.77071428571429,0.0,12.4,0.0,5.79883782883783,12.4,5.79883782883783
0.0,14.5,0.0,5.98521978021978,14.5,5.98521978021978,0.0,14.5,0.0,5.87832662435604,14.5,5.87832662435604,0.0,13.4,0.0,5.86904761904762,13.4,5.86904761904762,0.0,14.5,0.0,5.70481765783236,14.5,5.70481765783236,0.0,12.8,0.0,5.74044566544566,12.8,5.74044566544566,0.0,15.0,0.0,5.9817851756087,15.0,5.9817851756087,0.0,13.9,0.0,5.79656302031302,13.9,5.79656302031302,0.0,12.7,0.0,5.70319680319681,12.7,5.70319680319681,0.0,13.1,0.0,5.82252747252747,13.1,5.82252747252747,0.0,14.2,0.0,5.83010531135531,14.2,5.83010531135531,0.0,12.5,0.0,5.79178654678655,12.5,5.79178654678655
0.0,14.9,0.0,6.05553840767076,14.9,6.05553840767076,0.0,14.6,0.0,5.87612882215823,14.6,5.87612882215823,0.0,13.4,0.0,5.86904761904762,13.4,5.86904761904762,0.0,14.9,0.0,5.74863176039647,14.9,5.74863176039647,0.0,13.1,0.0,5.77442002442002,13.1,5.77442002442002,0.0,15.2,0.0,5.95714231846585,15.2,5.95714231846585,0.0,14.1,0.0,5.81361263736264,14.1,5.81361263736264,0.0,13.0,0.0,5.68011988011988,13.0,5.68011988011988,0.0,13.3,0.0,5.88360805860806,13.3,5.88360805860806,0.0,14.5,0.0,5.83940934065934,14.5,5.83940934065934,0.0,13.0,0.0,5.75302197802198,13.0,5.75302197802198
0.0,15.0,0.0,6.0583955505279,15.0,6.0583955505279,0.0,15.1,0.0,5.86942927170869,15.1,5.86942927170869,0.0,13.4,0.0,5.86904761904762,13.4,5.86904761904762,0.0,15.0,0.0,5.76260234863176,15.0,5.76260234863176,0.0,13.6,0.0,5.78531746031746,13.6,5.78531746031746,0.0,15.6,0.0,5.96543067226891,15.6,5.96543067226891,0.0,14.2,0.0,5.82570054945055,14.2,5.82570054945055,0.0,13.4,0.0,5.72362637362637,13.4,5.72362637362637,0.0,13.9,0.0,5.97298076923077,13.9,5.97298076923077,0.0,14.8,0.0,5.83541666666667,14.8,5.83541666666667,0.0,13.0,0.0,5.75302197802198,13.0,5.75302197802198
