forward_num_cluster_growth_0.10,reverse_num_cluster_growth_0.10,forward_rate_cluster_growth_0.10,reverse_rate_cluster_growth_0.10,organism_num_cluster_growth_0.10,organism_rate_cluster_growth_0.10,forward_num_cluster_growth_0.15,reverse_num_cluster_growth_0.15,forward_rate_cluster_growth_0.15,reverse_rate_cluster_growth_0.15,organism_num_cluster_growth_0.15,organism_rate_cluster_growth_0.15,forward_num_cluster_growth_0.20,reverse_num_cluster_growth_0.20,forward_rate_cluster_growth_0.20,reverse_rate_cluster_growth_0.20,organism_num_cluster_growth_0.20,organism_rate_cluster_growth_0.20,forward_num_cluster_growth_0.25,reverse_num_cluster_growth_0.25,forward_rate_cluster_growth_0.25,reverse_rate_cluster_growth_0.25,organism_num_cluster_growth_0.25,organism_rate_cluster_growth_0.25,forward_num_cluster_growth_0.30,reverse_num_cluster_growth_0.30,forward_rate_cluster_growth_0.30,reverse_rate_cluster_growth_0.30,organism_num_cluster_growth_0.30,organism_rate_cluster_growth_0.30,forward_num_cluster_growth_0.35,reverse_num_cluster_growth_0.35,forward_rate_cluster_growth_0.35,reverse_rate_cluster_growth_0.35,organism_num_cluster_growth_0.35,organism_rate_cluster_growth_0.35,forward_num_cluster_growth_0.40,reverse_num_cluster_growth_0.40,forward_rate_cluster_growth_0.40,reverse_rate_cluster_growth_0.40,organism_num_cluster_growth_0.40,organism_rate_cluster_growth_0.40,forward_num_cluster_growth_0.45,reverse_num_cluster_growth_0.45,forward_rate_cluster_growth_0.45,reverse_rate_cluster_growth_0.45,organism_num_cluster_growth_0.45,organism_rate_cluster_growth_0.45,forward_num_cluster_growth_0.50,reverse_num_cluster_growth_0.50,forward_rate_cluster_growth_0.50,reverse_rate_cluster_growth_0.50,organism_num_cluster_growth_0.50,organism_rate_cluster_growth_0.50,forward_num_cluster_growth_0.55,reverse_num_cluster_growth_0.55,forward_rate_cluster_growth_0.55,reverse_rate_cluster_growth_0.55,organism_num_cluster_growth_0.55,organism_rate_cluster_growth_0.55,forward_num_cluster_growth_0.60,reverse_num_cluster_growth_0.60,forward_rate_cluster_growth_0.60,reverse_rate_cluster_growth_0.60,organism_num_cluster_growth_0.60,organism_rate_cluster_growth_0.60
19.9,19.5,5.70388888888889,5.7150365497076,39.4,5.70869521343206,19.2,19.75,5.71122807017544,5.69307189542484,38.95,5.70203161842481,19.2,19.15,5.6703581871345,5.64257575757576,38.35,5.66760249709566,20.1,20.5,5.79014995322725,5.75546647002883,40.6,5.78216471235295,20.55,20.05,5.71919218996107,5.65286598850066,40.6,5.69099616779001,21.0,19.45,5.79955695391565,5.64997929315267,40.45,5.73884111422382,19.95,19.6,5.56904247584201,5.75453729019519,39.55,5.66491351423779,19.15,15.1,5.13251051257824,5.23760561613309,34.25,5.18526266750518,11.35,9.2,5.38074675324675,5.13331349206349,20.55,5.26411238500324,6.7,5.45,5.1197619047619,5.15261904761905,12.15,5.13319597069597,5.7,4.9,4.98333333333333,5.025,10.6,4.99853535353535
25.9,25.25,5.61794871794871,5.62815151515151,51.15,5.6222794117647,24.8,25.7,5.6215742035742,5.60651170568562,50.5,5.61462485675328,25.15,24.95,5.59673543123543,5.56718552036199,50.1,5.58891219460863,26.3,25.85,5.77724996018474,5.73945686561204,52.15,5.7647712170028,25.85,24.9,5.7268876149532,5.62527322999062,50.75,5.6833988836878,27.0,24.7,5.73635863342565,5.62649916479489,51.7,5.69925622505357,25.45,20.75,5.4469966680493,5.75626470264628,46.2,5.5980387244423,24.25,17.35,5.16340963292912,5.26249608986645,41.6,5.21385310577088,13.55,9.6,5.53022490989403,5.17130591630592,23.15,5.37896668121414,7.5,6.1,5.22065476190476,5.16535714285714,13.6,5.18889360639361,5.7,4.8,4.98333333333333,5.025,10.5,4.99833333333333
33.9,33.15,5.94411764705883,5.95483288770054,67.05,5.948967187791,32.6,33.5,5.95079562594269,5.93041666666667,66.1,5.9407466644418,32.7,32.35,5.90609068627452,5.8835338680927,65.05,5.91007530149102,32.35,32.0,5.96948379408357,5.94074592901059,64.35,5.9661403867645,32.5,31.45,5.91944107340075,5.84987278031206,63.95,5.89081271455787,33.75,26.6,5.97120713323263,5.6578995980871,60.35,5.84466328105338,31.85,26.65,5.68212878639169,5.67777488379225,58.5,5.69652070527007,27.2,19.45,5.17963557103895,5.33687718446022,46.65,5.25678058834353,14.65,10.6,5.51868000592459,5.11383477633478,25.25,5.34917189927851,7.65,6.2,5.1852380952381,5.11880952380952,13.85,5.14608329170829,5.7,4.85,4.98333333333333,4.995,10.55,4.98444444444444
37.8,36.9,5.84705882352941,5.85919848641211,74.7,5.85215139730619,36.5,37.35,5.84637640736712,5.83350910895415,73.85,5.84007511366946,36.35,36.2,5.81922019542762,5.78951545530493,72.55,5.8165490133076,37.7,38.15,5.99145130336289,5.95501367176533,75.85,5.98572654556819,38.05,36.55,5.95665240674279,5.83367568807197,74.6,5.90390889926756,39.6,35.55,5.97730020223575,5.81990121750681,75.15,5.91975759782099,36.1,32.35,5.64372643315368,5.82809569019576,68.45,5.74147804778333,32.45,23.7,5.25857797300183,5.41728144277613,56.15,5.33474003664788,15.85,11.15,5.5766985645933,5.10277389277389,27.0,5.38268362586278,8.05,6.1,5.13813852813853,5.10928571428571,14.15,5.11443009196686,5.7,5.4,4.98333333333333,5.09,11.1,5.02909090909091
47.8,46.7,5.75340909090909,5.75937747035573,94.5,5.75594462198301,45.75,47.25,5.7551376040703,5.74032276311416,93.0,5.74824707027991,46.25,45.75,5.73420349423934,5.70367538874939,92.0,5.72666935127196,47.9,47.9,5.9817507307452,5.89186920047206,95.8,5.94506340630867,47.55,45.75,5.914850365308,5.82966727314038,93.3,5.88496834999401,50.05,39.1,5.92574354589672,5.89286189666364,89.15,5.92591116190572,45.45,38.55,5.58586163343648,5.81258391913384,84.0,5.70272365692749,40.3,26.95,5.27544536477042,5.41439555479731,67.25,5.34189882298566,19.3,12.4,5.48520298002651,5.17208832833833,31.7,5.36062119294969,9.05,6.1,5.13332070707071,5.10928571428571,15.15,5.1136073852618,6.3,5.45,4.99761904761905,5.08166666666667,11.75,5.03374125874126
63.8,62.4,6.06604166666667,6.07138963560335,126.2,6.06842868316454,61.3,62.75,6.07036578341014,6.05096966205837,124.05,6.06074413973484,61.35,60.6,6.03028097798259,6.00734447004608,121.95,6.03481111826623,61.85,60.85,6.18550779528875,6.13536053934705,122.7,6.17951565278697,62.0,57.9,6.14955139403993,6.04202264068705,119.9,6.11201207961792,62.6,48.5,6.14435318571786,5.8500405874633,111.1,6.03068563300368,57.7,43.2,5.78830907700195,5.76020370811211,100.9,5.79863214828994,47.0,31.15,5.32194993020668,5.459794504366,78.15,5.38791495013868,20.45,13.55,5.48331584869567,5.22928952991453,34.0,5.38040644439442,9.1,6.1,5.13968434343434,5.10928571428571,15.2,5.11839905192846,6.3,5.4,4.99761904761905,5.065,11.7,5.027331002331
67.8,66.15,5.94411764705883,5.95233083515538,133.95,5.94775715948173,65.1,66.75,5.94919134786782,5.9279330952191,131.85,5.93870633134791,65.15,64.6,5.90969255612693,5.88192959001783,129.75,5.91098490332237,71.25,69.95,6.13328094864647,6.11103740428786,141.2,6.13827249187294,70.9,66.25,6.09359938979609,6.04326770324077,137.15,6.08600175978423,73.0,63.25,6.08075511222627,6.03160329171167,136.25,6.07472152437336,65.25,53.3,5.71669155270978,5.83588001964801,118.55,5.78337836392274,57.3,36.6,5.30785693676773,5.53549598220581,93.9,5.40980015532427,22.6,14.2,5.52082412303681,5.21154209760827,36.8,5.39721033637356,9.9,6.15,5.20226495726496,5.12446428571429,16.05,5.16380452214624,6.2,5.3,5.01690476190476,5.02333333333333,11.5,5.01993006993007
91.6,89.15,5.87370600414078,5.88166813019137,180.75,5.87712169507796,87.75,90.45,5.87112194187709,5.86096116443942,178.2,5.86643307892471,88.45,87.45,5.85780306246967,5.83086618695314,175.9,5.85159383921614,93.45,88.5,6.21099245232722,6.13367179794207,181.95,6.18873165941194,91.7,77.7,6.08769007234212,6.02782694368525,169.4,6.0799640123509,94.95,71.45,6.0676270477973,6.05387605641792,166.4,6.07559598865852,81.8,65.65,5.71165106009874,5.93147068911186,147.45,5.82316176836002,68.5,43.25,5.39362785675162,5.53844466518213,111.75,5.46053796267717,24.25,15.05,5.5500592854634,5.22672791282505,39.3,5.4261981757586,10.0,6.8,5.18898212898213,5.27321428571429,16.8,5.21029978556875,6.15,5.25,4.99523809523809,5.01083333333333,11.4,5.00391996891997
123.6,120.55,6.16529477196886,6.17274027113796,244.15,6.16867137633034,118.8,121.4,6.16561836685512,6.15087633294229,240.2,6.15824931060165,118.55,117.15,6.13256043557704,6.1137272699537,235.7,6.13859428674259,118.7,117.15,6.39892618874559,6.32361515131961,235.85,6.38358216471226,119.6,110.5,6.30489095940468,6.22710721808105,230.1,6.28763090727396,124.15,91.4,6.24590629964175,6.0138628715489,215.55,6.16073813565429,105.8,74.3,5.86490625353193,5.84746798895396,180.1,5.88146543493194,80.05,49.2,5.48532121008342,5.54303283421773,129.25,5.51631458852964,28.3,16.15,5.57675133653412,5.19143094113489,44.45,5.43688149785975,10.85,6.9,5.15094405594406,5.26160714285714,17.75,5.16969759020649,6.4,5.25,4.92119047619048,5.01083333333333,11.65,4.95964757464757
123.55,120.5,6.16536033714064,6.17280583630974,244.05,6.16873667605608,118.8,121.4,6.16561836685512,6.15087633294229,240.2,6.15824931060165,118.45,117.1,6.13188078919157,6.11379283512548,235.55,6.13828791889146,136.3,132.95,6.45482859943456,6.38887156509557,269.25,6.44733452669607,133.3,123.4,6.33163578310945,6.26073795304506,256.7,6.32332443051966,136.95,117.4,6.26394111099038,6.21177538598747,254.35,6.25369929150474,117.2,89.6,5.89384054609216,5.8381345120775,206.8,5.88978959506676,94.2,59.6,5.51292037448559,5.52207070539968,153.8,5.52615505534178,30.7,18.9,5.56151993003916,5.24881277074026,49.6,5.43903798622976,11.35,7.0,5.12071689340072,5.26809523809524,18.35,5.1542896891407,6.35,5.25,4.92619047619048,5.01083333333333,11.6,4.96381424131424
