forward_0c_num_avg,forward_0c_rate_avg,forward_37c_num_avg,forward_37c_rate_avg,forward_50c_num_avg,forward_50c_rate_avg,forward_100c_num_avg,forward_100c_rate_avg,forward_150c_num_avg,forward_150c_rate_avg,forward_200c_num_avg,forward_200c_rate_avg,forward_300c_num_avg,forward_300c_rate_avg,forward_400c_num_avg,forward_400c_rate_avg,forward_600c_num_avg,forward_600c_rate_avg,forward_800c_num_avg,forward_800c_rate_avg,forward_1000c_num_avg,forward_1000c_rate_avg,reverse_0c_num_avg,reverse_0c_rate_avg,reverse_37c_num_avg,reverse_37c_rate_avg,reverse_50c_num_avg,reverse_50c_rate_avg,reverse_100c_num_avg,reverse_100c_rate_avg,reverse_150c_num_avg,reverse_150c_rate_avg,reverse_200c_num_avg,reverse_200c_rate_avg,reverse_300c_num_avg,reverse_300c_rate_avg,reverse_400c_num_avg,reverse_400c_rate_avg,reverse_600c_num_avg,reverse_600c_rate_avg,reverse_800c_num_avg,reverse_800c_rate_avg,reverse_1000c_num_avg,reverse_1000c_rate_avg
9.66666666666667,5.55555555555556,10.0,5.5,9.33333333333333,5.625,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,9.66666666666667,5.55555555555556,10.0,5.5,9.66666666666667,5.44444444444444,9.33333333333333,5.57407407407407,9.66666666666667,5.48148148148148,10.0,5.5,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
10.6666666666667,5.97272727272727,11.0,5.90909090909091,10.3333333333333,6.05050505050505,11.0,5.90909090909091,11.0,5.90909090909091,11.0,5.90909090909091,10.6666666666667,5.80606060606061,10.6666666666667,5.97272727272727,11.0,5.81818181818182,10.6666666666667,5.77878787878788,10.3333333333333,5.80909090909091,9.66666666666667,5.48148148148148,10.0,5.5,9.66666666666667,5.48148148148148,10.0,5.5,10.0,5.5,10.0,5.5,9.66666666666667,5.37037037037037,9.66666666666667,5.40740740740741,10.0,5.5,10.0,5.5,10.0,5.5
11.6666666666667,6.23232323232323,12.0,6.16666666666667,11.3333333333333,6.31111111111111,12.0,6.16666666666667,12.0,6.16666666666667,12.0,6.16666666666667,11.3333333333333,5.97777777777778,11.6666666666667,6.23232323232323,12.0,6.11111111111111,11.6666666666667,6.14141414141414,11.3333333333333,5.91414141414141,10.6666666666667,5.90606060606061,11.0,5.90909090909091,10.6666666666667,5.90606060606061,11.0,5.90909090909091,11.0,5.90909090909091,11.0,5.90909090909091,10.6666666666667,5.80606060606061,10.6666666666667,5.83939393939394,11.0,5.81818181818182,11.0,5.78787878787879,10.0,5.5
12.6666666666667,6.37179487179487,13.0,6.30769230769231,12.0,6.42832167832168,13.0,6.30769230769231,13.0,6.30769230769231,13.0,6.30769230769231,12.3333333333333,6.14452214452215,12.6666666666667,6.37179487179487,13.0,6.23076923076923,12.6666666666667,6.31623931623932,12.0,5.93648018648019,11.6666666666667,6.17171717171717,12.0,6.16666666666667,11.6666666666667,6.17171717171717,12.0,6.16666666666667,12.0,6.16666666666667,12.0,6.16666666666667,11.3333333333333,5.97777777777778,11.6666666666667,6.11111111111111,12.0,6.11111111111111,12.0,6.02777777777778,11.3333333333333,5.8459595959596
12.6666666666667,6.37179487179487,13.0,6.30769230769231,12.0,6.42832167832168,13.0,6.30769230769231,13.0,6.30769230769231,13.0,6.30769230769231,12.3333333333333,6.14452214452215,12.6666666666667,6.37179487179487,13.0,6.23076923076923,12.6666666666667,6.31623931623932,12.0,5.93648018648019,12.6666666666667,6.31623931623932,13.0,6.30769230769231,12.6666666666667,6.31623931623932,13.0,6.30769230769231,13.0,6.30769230769231,13.0,6.30769230769231,12.3333333333333,6.14452214452215,12.3333333333333,6.20512820512821,13.0,6.33333333333334,12.0,6.02777777777778,12.0,5.91666666666666
13.6666666666667,6.41758241758242,14.0,6.35714285714286,12.3333333333333,6.4448051948052,14.0,6.35714285714286,14.0,6.35714285714286,14.0,6.35714285714286,13.3333333333333,6.21031746031746,13.6666666666667,6.41758241758242,14.0,6.21428571428571,13.3333333333333,6.34920634920635,13.0,5.98962148962149,12.6666666666667,6.31623931623932,13.0,6.30769230769231,12.6666666666667,6.31623931623932,13.0,6.30769230769231,13.0,6.30769230769231,13.0,6.30769230769231,12.3333333333333,6.14452214452215,12.3333333333333,6.20512820512821,13.0,6.33333333333334,13.0,6.15384615384616,13.0,6.1025641025641
13.6666666666667,6.41758241758242,14.0,6.35714285714286,12.3333333333333,6.4448051948052,14.0,6.35714285714286,14.0,6.35714285714286,14.0,6.35714285714286,13.3333333333333,6.21031746031746,13.6666666666667,6.41758241758242,14.0,6.21428571428571,13.3333333333333,6.34920634920635,13.0,5.98962148962149,13.6666666666667,6.36630036630037,14.0,6.35714285714286,13.6666666666667,6.36630036630037,14.0,6.35714285714286,14.0,6.35714285714286,14.0,6.35714285714286,13.3333333333333,6.21031746031746,13.3333333333333,6.26587301587302,14.0,6.45238095238095,13.6666666666667,6.14285714285714,13.0,6.1025641025641
14.6666666666667,6.38888888888889,15.0,6.33333333333333,13.3333333333333,6.41025641025641,15.0,6.33333333333333,15.0,6.33333333333333,15.0,6.33333333333333,14.3333333333333,6.19658119658119,14.6666666666667,6.38888888888889,15.0,6.2,14.3333333333333,6.2991452991453,13.0,5.98962148962149,13.6666666666667,6.36630036630037,14.0,6.35714285714286,13.6666666666667,6.36630036630037,14.0,6.35714285714286,14.0,6.35714285714286,14.0,6.35714285714286,13.3333333333333,6.21031746031746,13.3333333333333,6.26587301587302,14.0,6.45238095238095,14.0,6.19047619047619,14.0,6.14285714285714
14.6666666666667,6.38888888888889,15.0,6.33333333333333,13.3333333333333,6.41025641025641,15.0,6.33333333333333,15.0,6.33333333333333,15.0,6.33333333333333,14.3333333333333,6.19658119658119,14.6666666666667,6.38888888888889,15.0,6.2,14.3333333333333,6.2991452991453,14.0,6.01831501831502,14.3333333333333,6.35042735042735,15.0,6.33333333333333,14.3333333333333,6.35042735042735,15.0,6.33333333333333,15.0,6.33333333333333,14.6666666666667,6.29365079365079,14.3333333333333,6.19658119658119,14.3333333333333,6.24786324786325,14.6666666666667,6.43333333333333,14.0,6.19047619047619,14.0,6.14285714285714
14.6666666666667,6.38888888888889,15.0,6.33333333333333,13.3333333333333,6.41025641025641,14.6666666666667,6.29365079365079,15.0,6.33333333333333,15.0,6.33333333333333,14.3333333333333,6.19658119658119,14.6666666666667,6.38888888888889,15.0,6.2,14.3333333333333,6.2991452991453,14.0,6.01831501831502,14.3333333333333,6.35042735042735,15.0,6.33333333333333,14.3333333333333,6.35042735042735,15.0,6.33333333333333,15.0,6.33333333333333,14.3333333333333,6.2063492063492,14.3333333333333,6.19658119658119,14.0,6.30555555555555,15.0,6.42222222222222,15.0,6.2,14.6666666666667,6.13492063492064
