forward_num_strict_compet_mut_0.10,reverse_num_strict_compet_mut_0.10,forward_rate_strict_compet_mut_0.10,reverse_rate_strict_compet_mut_0.10,organism_num_strict_compet_mut_0.10,organism_rate_strict_compet_mut_0.10,forward_num_strict_compet_mut_0.15,reverse_num_strict_compet_mut_0.15,forward_rate_strict_compet_mut_0.15,reverse_rate_strict_compet_mut_0.15,organism_num_strict_compet_mut_0.15,organism_rate_strict_compet_mut_0.15,forward_num_strict_compet_mut_0.20,reverse_num_strict_compet_mut_0.20,forward_rate_strict_compet_mut_0.20,reverse_rate_strict_compet_mut_0.20,organism_num_strict_compet_mut_0.20,organism_rate_strict_compet_mut_0.20,forward_num_strict_compet_mut_0.25,reverse_num_strict_compet_mut_0.25,forward_rate_strict_compet_mut_0.25,reverse_rate_strict_compet_mut_0.25,organism_num_strict_compet_mut_0.25,organism_rate_strict_compet_mut_0.25,forward_num_strict_compet_mut_0.30,reverse_num_strict_compet_mut_0.30,forward_rate_strict_compet_mut_0.30,reverse_rate_strict_compet_mut_0.30,organism_num_strict_compet_mut_0.30,organism_rate_strict_compet_mut_0.30,forward_num_strict_compet_mut_0.35,reverse_num_strict_compet_mut_0.35,forward_rate_strict_compet_mut_0.35,reverse_rate_strict_compet_mut_0.35,organism_num_strict_compet_mut_0.35,organism_rate_strict_compet_mut_0.35,forward_num_strict_compet_mut_0.40,reverse_num_strict_compet_mut_0.40,forward_rate_strict_compet_mut_0.40,reverse_rate_strict_compet_mut_0.40,organism_num_strict_compet_mut_0.40,organism_rate_strict_compet_mut_0.40,forward_num_strict_compet_mut_0.45,reverse_num_strict_compet_mut_0.45,forward_rate_strict_compet_mut_0.45,reverse_rate_strict_compet_mut_0.45,organism_num_strict_compet_mut_0.45,organism_rate_strict_compet_mut_0.45,forward_num_strict_compet_mut_0.50,reverse_num_strict_compet_mut_0.50,forward_rate_strict_compet_mut_0.50,reverse_rate_strict_compet_mut_0.50,organism_num_strict_compet_mut_0.50,organism_rate_strict_compet_mut_0.50,forward_num_strict_compet_mut_0.55,reverse_num_strict_compet_mut_0.55,forward_rate_strict_compet_mut_0.55,reverse_rate_strict_compet_mut_0.55,organism_num_strict_compet_mut_0.55,organism_rate_strict_compet_mut_0.55,forward_num_strict_compet_mut_0.60,reverse_num_strict_compet_mut_0.60,forward_rate_strict_compet_mut_0.60,reverse_rate_strict_compet_mut_0.60,organism_num_strict_compet_mut_0.60,organism_rate_strict_compet_mut_0.60
679.7,318.7,6.56039737304021,5.13570963494508,998.4,6.10505175237528,673.9,324.3,6.62848887211834,5.1963267164095,998.2,6.16422853075607,694.7,303.8,6.58475487777232,5.17633528594278,998.5,6.15639047791055,679.6,318.8,6.46592361926478,5.155339847581,998.4,6.04715335673642,680.8,317.1,6.42149829488825,5.14198641951743,997.9,6.01546844970617,679.8,318.6,6.16156099359574,5.11638563701205,998.4,5.82784552350736,691.4,307.2,5.57550886893668,5.10913180648498,998.6,5.43199482047177,679.5,318.5,4.91760415943096,5.33858582576871,998.0,5.05158026673964,676.9,321.0,4.62824353738369,5.52806086478258,997.9,4.91741486544266,682.6,315.8,4.75875504352993,5.74482618824195,998.4,5.06810199024869,683.5,314.8,4.82197967717314,5.70218092545735,998.3,5.09687346677375
703.2,295.4,6.35133833673837,5.13905440862122,998.6,5.99290011977473,699.6,298.6,6.39924166937548,5.19401415486369,998.2,6.04055033922492,719.0,279.7,6.36214822022004,5.18978265991154,998.7,6.0348191879254,705.4,292.3,6.2499805235639,5.15524663567969,997.7,5.92919012466024,706.1,292.1,6.19972679704623,5.13169659636865,998.2,5.88745822328121,704.6,293.7,5.97612853788263,5.11677118751779,998.3,5.72321331810139,715.3,283.1,5.4724712839954,5.08960973769088,998.4,5.36425800749242,706.4,292.4,4.88073350565571,5.342823127308,998.8,5.01571932654097,699.7,297.9,4.6641262478338,5.49473640766318,997.6,4.91205802137052,704.8,293.5,4.78349415219723,5.72951148312814,998.3,5.05898072360757,699.3,298.7,4.90706029444335,5.64826318928919,998.0,5.12552475027531
707.2,291.4,6.52344503625863,4.96185563179742,998.6,6.0659840225067,693.1,305.1,6.57114469303896,4.97037963117508,998.2,6.08198214347083,720.3,277.8,6.5613573393756,5.02464189243679,998.1,6.13286029907713,704.8,293.4,6.39608400670883,5.00133191239467,998.2,5.9839828899317,701.4,296.8,6.32208651594133,4.89146345172374,998.2,5.89695455229542,704.9,293.8,6.10770705379333,4.93585587021703,998.7,5.76150228384697,710.9,286.9,5.51178257839905,4.9789456545209,997.8,5.35846616909716,694.0,304.6,4.85828571280814,5.27738421720544,998.6,4.98619360843809,693.3,304.9,4.59744850093118,5.27620479057302,998.2,4.80386528071227,694.2,303.5,4.67542645825569,5.64555912220995,997.7,4.9665691552267,696.8,301.1,4.76629125611153,5.48389281002073,997.9,4.97963448718299
686.5,311.9,6.51183879483214,5.06670547520056,998.4,6.0615010979446,670.3,328.0,6.59331579225383,5.23489758196084,998.3,6.14875710549737,695.0,303.0,6.56375693793537,5.05741089568114,998.0,6.10722303898648,683.3,315.0,6.41685471076473,5.10728278715733,998.3,6.00639597452984,679.9,318.0,6.33448906563424,5.05103499298335,997.9,5.92832489555679,683.5,314.2,6.09167275234793,5.0748030371523,997.7,5.77088717740282,691.9,306.3,5.50124384690972,5.05679089376811,998.2,5.36564173031672,684.5,313.9,4.85150457546531,5.14299013359382,998.4,4.94212107113995,684.6,313.4,4.54442052125149,5.16466302008266,998.0,4.73899194941902,691.7,305.7,4.74806534491905,5.50900948599531,997.4,4.97741881940707,689.3,308.9,4.79864353112808,5.41052904599044,998.2,4.98395166884844
675.6,323.1,6.5245775103758,5.38416781223808,998.7,6.15730242215007,668.8,329.5,6.62089216624189,5.45148351787769,998.3,6.23716473206598,688.5,309.5,6.55571055592564,5.30609674597797,998.0,6.16792172209392,677.4,320.6,6.4307007292251,5.30864884808786,998.0,6.0718444430002,676.0,322.4,6.34879951537165,5.2289728324126,998.4,5.988942595685,672.8,325.2,6.07379780704003,5.30945164411256,998.0,5.823472668754,683.9,314.4,5.42613833674615,5.17925662018138,998.3,5.34937825073995,675.1,322.9,4.8302035742067,5.08568395768701,998.0,4.91253245404245,673.6,325.0,4.54968301470287,5.06599100770662,998.6,4.71821972272874,679.6,319.0,4.81119540075098,5.33856743883514,998.6,4.98184565703103,676.7,321.5,4.90356970694936,5.25969615795661,998.2,5.01616985633468
673.2,324.9,6.61054449473548,5.44777160743896,998.1,6.23343023801836,664.9,333.3,6.68836545392432,5.4990604507103,998.2,6.29435568476217,683.8,314.1,6.65927768904382,5.36986137026982,997.9,6.25465613087708,668.8,329.4,6.50251071374164,5.35520490777821,998.2,6.1258147383227,668.8,329.5,6.41286444430252,5.32701892350537,998.3,6.05675645082453,670.6,327.5,6.14080082633365,5.28868945056803,998.1,5.86065673322355,689.4,308.8,5.50303036010152,5.19840901889321,998.2,5.40923495711356,671.5,326.4,4.83888653201311,5.09528034832718,997.9,4.92226733560716,675.4,322.8,4.50132410500587,5.03623105791367,998.2,4.67422311437734,689.8,308.3,4.73182965724629,5.28082013488505,998.1,4.90187787146419,694.3,303.5,4.87168633963803,5.23848627560116,997.8,4.98223577340299
658.8,339.3,6.66298112892318,5.66751829565857,998.1,6.32662100777529,649.0,349.3,6.72709449058845,5.60334693034242,998.3,6.33762177221955,674.7,323.4,6.70963021908131,5.66174453792549,998.1,6.37101091536081,662.5,336.1,6.54338862229687,5.53151083574268,998.6,6.20288117648324,664.2,334.2,6.44956648452792,5.47600127049956,998.4,6.12540530260976,655.3,343.0,6.13101822619764,5.43671627424317,998.3,5.88988631337009,684.0,314.5,5.49038646911569,5.15870778723925,998.5,5.38678055335472,679.4,318.7,4.80804214711071,5.07117818848281,998.1,4.89007024413253,672.7,325.5,4.53547973113433,4.92923022409391,998.2,4.66340312519844,682.7,315.8,4.77960224667069,5.14788741439216,998.5,4.89514119961534,704.5,293.6,4.955971763389,5.19530816160381,998.1,5.02275627934171
653.6,344.7,6.72554053087469,5.72049020243862,998.3,6.38016712257812,641.1,357.4,6.78062952617224,5.73903440587166,998.5,6.40872094539429,669.4,328.8,6.79757882145649,5.6607430278145,998.2,6.42359204009197,651.1,346.8,6.58191958681365,5.68742087624665,997.9,6.27186520152311,657.5,341.0,6.49985159060455,5.51027449946974,998.5,6.16514029059119,645.0,352.8,6.17519665797406,5.53130994881165,997.8,5.94639572290805,680.3,318.0,5.47559447218434,5.20245184304491,998.3,5.38886292945322,669.2,329.1,4.80828820695092,4.99625475182853,998.3,4.86927516125641,665.5,332.5,4.50987732808811,4.83043441607726,998.0,4.6176039402035,673.0,325.4,4.88329701567451,5.1796485889966,998.4,4.97837597860613,697.9,300.4,5.02307962734517,5.06809697230638,998.3,5.03484156624932
651.7,346.6,6.78947067142664,5.86239295629541,998.3,6.46958540229184,648.7,349.3,6.85689657875705,5.89850542051817,998.0,6.52331500831081,662.2,336.3,6.84891097461617,5.94280425918132,998.5,6.54530850671859,649.8,348.7,6.65280369969362,5.80723618952523,998.5,6.35733185572794,649.6,348.6,6.55195609167681,5.69186757257693,998.2,6.25215801083987,650.8,347.8,6.22627850973294,5.63471229245638,998.6,6.01941510648925,678.7,319.9,5.53495634030903,5.19170581526449,998.6,5.42510195566308,662.2,336.0,4.81395900267834,4.97317624259951,998.2,4.86594480312217,674.6,323.7,4.50166392547823,4.80972707358462,998.3,4.60389713832396,670.2,327.6,4.89362825782448,5.0883598903066,997.8,4.95852501462155,691.3,306.9,5.08456065215507,5.05166996899517,998.2,5.07462203089074
655.1,343.5,6.86051301522608,5.97194543954534,998.6,6.55679518148267,651.1,347.2,6.91484574395752,5.98526855675266,998.3,6.59169531509226,673.4,324.7,6.91259596334504,5.99565926739296,998.1,6.61685128581753,660.4,337.5,6.6869233019178,5.88527952431911,997.9,6.41797834832878,660.2,337.7,6.582796251616,5.74961331993357,997.9,6.30314827739074,659.1,339.4,6.24817549264443,5.66831846877303,998.5,6.05078887749203,685.6,312.8,5.52884452241236,5.25617891689863,998.4,5.44279595543387,672.8,325.6,4.78959669115603,4.94049545558963,998.4,4.83854366112497,672.6,325.3,4.51171447736866,4.8094710482713,997.9,4.60959638438014,676.2,322.2,4.90474964198473,5.0322984336403,998.4,4.94598499252566,702.7,295.7,5.03321218332701,5.01617771568979,998.4,5.02902691909261
