forward_num_temp_incr_nomut_forward_0.45,reverse_num_temp_incr_nomut_forward_0.45,forward_rate_temp_incr_nomut_forward_0.45,reverse_rate_temp_incr_nomut_forward_0.45,organism_num_temp_incr_nomut_forward_0.45,organism_rate_temp_incr_nomut_forward_0.45,forward_num_temp_incr_nomut_forward_0.15,reverse_num_temp_incr_nomut_forward_0.15,forward_rate_temp_incr_nomut_forward_0.15,reverse_rate_temp_incr_nomut_forward_0.15,organism_num_temp_incr_nomut_forward_0.15,organism_rate_temp_incr_nomut_forward_0.15,forward_num_temp_incr_nomut_forward_0.35,reverse_num_temp_incr_nomut_forward_0.35,forward_rate_temp_incr_nomut_forward_0.35,reverse_rate_temp_incr_nomut_forward_0.35,organism_num_temp_incr_nomut_forward_0.35,organism_rate_temp_incr_nomut_forward_0.35,forward_num_temp_incr_nomut_forward_0.55,reverse_num_temp_incr_nomut_forward_0.55,forward_rate_temp_incr_nomut_forward_0.55,reverse_rate_temp_incr_nomut_forward_0.55,organism_num_temp_incr_nomut_forward_0.55,organism_rate_temp_incr_nomut_forward_0.55,forward_num_temp_incr_nomut_forward_0.25,reverse_num_temp_incr_nomut_forward_0.25,forward_rate_temp_incr_nomut_forward_0.25,reverse_rate_temp_incr_nomut_forward_0.25,organism_num_temp_incr_nomut_forward_0.25,organism_rate_temp_incr_nomut_forward_0.25,forward_num_temp_incr_nomut_forward_0.40,reverse_num_temp_incr_nomut_forward_0.40,forward_rate_temp_incr_nomut_forward_0.40,reverse_rate_temp_incr_nomut_forward_0.40,organism_num_temp_incr_nomut_forward_0.40,organism_rate_temp_incr_nomut_forward_0.40,forward_num_temp_incr_nomut_forward_0.60,reverse_num_temp_incr_nomut_forward_0.60,forward_rate_temp_incr_nomut_forward_0.60,reverse_rate_temp_incr_nomut_forward_0.60,organism_num_temp_incr_nomut_forward_0.60,organism_rate_temp_incr_nomut_forward_0.60,forward_num_temp_incr_nomut_forward_0.10,reverse_num_temp_incr_nomut_forward_0.10,forward_rate_temp_incr_nomut_forward_0.10,reverse_rate_temp_incr_nomut_forward_0.10,organism_num_temp_incr_nomut_forward_0.10,organism_rate_temp_incr_nomut_forward_0.10,forward_num_temp_incr_nomut_forward_0.30,reverse_num_temp_incr_nomut_forward_0.30,forward_rate_temp_incr_nomut_forward_0.30,reverse_rate_temp_incr_nomut_forward_0.30,organism_num_temp_incr_nomut_forward_0.30,organism_rate_temp_incr_nomut_forward_0.30,forward_num_temp_incr_nomut_forward_0.50,reverse_num_temp_incr_nomut_forward_0.50,forward_rate_temp_incr_nomut_forward_0.50,reverse_rate_temp_incr_nomut_forward_0.50,organism_num_temp_incr_nomut_forward_0.50,organism_rate_temp_incr_nomut_forward_0.50,forward_num_temp_incr_nomut_forward_0.20,reverse_num_temp_incr_nomut_forward_0.20,forward_rate_temp_incr_nomut_forward_0.20,reverse_rate_temp_incr_nomut_forward_0.20,organism_num_temp_incr_nomut_forward_0.20,organism_rate_temp_incr_nomut_forward_0.20
12.0,0.0,5.75443722943723,0.0,12.0,5.75443722943723,13.4,0.0,5.71562271062271,0.0,13.4,5.71562271062271,12.2,0.0,5.68490176490176,0.0,12.2,5.68490176490176,12.4,0.0,5.67564102564103,0.0,12.4,5.67564102564103,12.6,0.0,5.69694472194472,0.0,12.6,5.69694472194472,12.6,0.0,5.71611721611722,0.0,12.6,5.71611721611722,12.5,0.0,5.80571928071928,0.0,12.5,5.80571928071928,12.0,0.0,5.72236097236097,0.0,12.0,5.72236097236097,13.0,0.0,5.89799991674992,0.0,13.0,5.89799991674992,12.4,0.0,5.72517482517483,0.0,12.4,5.72517482517483,12.5,0.0,5.80941558441558,0.0,12.5,5.80941558441558
12.5,0.0,5.84058441558441,0.0,12.5,5.84058441558441,13.8,0.0,5.75276620438385,0.0,13.8,5.75276620438385,12.5,0.0,5.67091575091575,0.0,12.5,5.67091575091575,12.8,0.0,5.71712454212454,0.0,12.8,5.71712454212454,12.8,0.0,5.74498001998002,0.0,12.8,5.74498001998002,12.8,0.0,5.78079254079254,0.0,12.8,5.78079254079254,12.9,0.0,5.90984848484848,0.0,12.9,5.90984848484848,12.4,0.0,5.76487678987679,0.0,12.4,5.76487678987679,13.1,0.0,5.92603021978022,0.0,13.1,5.92603021978022,12.7,0.0,5.66840659340659,0.0,12.7,5.66840659340659,12.6,0.0,5.80556943056943,0.0,12.6,5.80556943056943
12.8,0.0,5.91359473859474,0.0,12.8,5.91359473859474,13.9,0.0,5.7751471567648,0.0,13.9,5.7751471567648,12.6,0.0,5.68355311355311,0.0,12.6,5.68355311355311,13.1,0.0,5.7773363891011,0.0,13.1,5.7773363891011,13.0,0.0,5.78170163170163,0.0,13.0,5.78170163170163,13.0,0.0,5.7772027972028,0.0,13.0,5.7772027972028,13.1,0.0,5.90167998667999,0.0,13.1,5.90167998667999,12.5,0.0,5.76423576423577,0.0,12.5,5.76423576423577,13.4,0.0,5.95560897435897,0.0,13.4,5.95560897435897,13.0,0.0,5.69697802197802,0.0,13.0,5.69697802197802,13.3,0.0,5.8815934065934,0.0,13.3,5.8815934065934
13.3,0.0,6.01117715617716,0.0,13.3,6.01117715617716,14.1,0.0,5.81355042016807,0.0,14.1,5.81355042016807,12.8,0.0,5.70780885780886,0.0,12.8,5.70780885780886,13.4,0.0,5.80334371510842,0.0,13.4,5.80334371510842,13.7,0.0,5.89611555111555,0.0,13.7,5.89611555111555,13.6,0.0,5.81208291708292,0.0,13.6,5.81208291708292,13.3,0.0,5.91770562770563,0.0,13.3,5.91770562770563,12.9,0.0,5.79961704961705,0.0,12.9,5.79961704961705,13.7,0.0,6.00106684981685,0.0,13.7,6.00106684981685,13.0,0.0,5.69697802197802,0.0,13.0,5.69697802197802,13.5,0.0,5.93340201465201,0.0,13.5,5.93340201465201
14.0,0.0,6.05975274725275,0.0,14.0,6.05975274725275,14.0,0.0,5.83930799592564,0.0,14.0,5.83930799592564,12.9,0.0,5.72971361971362,0.0,12.9,5.72971361971362,13.5,0.0,5.7802667920315,0.0,13.5,5.7802667920315,14.0,0.0,5.89034798534799,0.0,14.0,5.89034798534799,14.1,0.0,5.88425824175824,0.0,14.1,5.88425824175824,13.5,0.0,5.92151515151515,0.0,13.5,5.92151515151515,13.2,0.0,5.81944721944722,0.0,13.2,5.81944721944722,14.0,0.0,6.04170787545788,0.0,14.0,6.04170787545788,13.4,0.0,5.76996336996337,0.0,13.4,5.76996336996337,13.8,0.0,5.90968406593406,0.0,13.8,5.90968406593406
14.2,0.0,6.02788461538462,0.0,14.2,6.02788461538462,14.4,0.0,5.86872272335508,0.0,14.4,5.86872272335508,13.4,0.0,5.82562937062937,0.0,13.4,5.82562937062937,13.8,0.0,5.80491880668351,0.0,13.8,5.80491880668351,14.3,0.0,5.91035714285714,0.0,14.3,5.91035714285714,14.2,0.0,5.91092490842491,0.0,14.2,5.91092490842491,13.7,0.0,5.88125874125874,0.0,13.7,5.88125874125874,13.5,0.0,5.82909007659008,0.0,13.5,5.82909007659008,14.4,0.0,6.0609709653092,0.0,14.4,6.0609709653092,13.6,0.0,5.7731684981685,0.0,13.6,5.7731684981685,14.1,0.0,5.85858516483516,0.0,14.1,5.85858516483516
14.4,0.0,6.02336080586081,0.0,14.4,6.02336080586081,14.5,0.0,5.89629625276684,0.0,14.5,5.89629625276684,13.5,0.0,5.81277222777223,0.0,13.5,5.81277222777223,14.1,0.0,5.75698840375311,0.0,14.1,5.75698840375311,14.5,0.0,5.87339743589744,0.0,14.5,5.87339743589744,14.5,0.0,5.95407509157509,0.0,14.5,5.95407509157509,14.3,0.0,5.98062917474682,0.0,14.3,5.98062917474682,13.8,0.0,5.90183732933733,0.0,13.8,5.90183732933733,14.6,0.0,6.0975641025641,0.0,14.6,6.0975641025641,13.8,0.0,5.76459706959707,0.0,13.8,5.76459706959707,14.2,0.0,5.85810897435898,0.0,14.2,5.85810897435898
14.5,0.0,6.03654761904762,0.0,14.5,6.03654761904762,14.7,0.0,5.88626878023937,0.0,14.7,5.88626878023937,14.3,0.0,5.93294413919414,0.0,14.3,5.93294413919414,14.5,0.0,5.77698840375311,0.0,14.5,5.77698840375311,14.7,0.0,5.84387362637363,0.0,14.7,5.84387362637363,14.8,0.0,5.98152607196725,0.0,14.8,5.98152607196725,14.5,0.0,5.96812917474682,0.0,14.5,5.96812917474682,14.1,0.0,5.93189685314685,0.0,14.1,5.93189685314685,14.8,0.0,6.11039377289377,0.0,14.8,6.11039377289377,14.0,0.0,5.77805860805861,0.0,14.0,5.77805860805861,14.7,0.0,5.92509803921569,0.0,14.7,5.92509803921569
14.5,0.0,6.0844184981685,0.0,14.5,6.0844184981685,15.0,0.0,5.93286218683278,0.0,15.0,5.93286218683278,14.6,0.0,5.92830128205128,0.0,14.6,5.92830128205128,14.9,0.0,5.80936702186702,0.0,14.9,5.80936702186702,14.8,0.0,5.87464285714286,0.0,14.8,5.87464285714286,15.1,0.0,5.96812971342383,0.0,15.1,5.96812971342383,15.0,0.0,6.02110994397759,0.0,15.0,6.02110994397759,14.6,0.0,5.99562297996122,0.0,14.6,5.99562297996122,14.8,0.0,6.11039377289377,0.0,14.8,6.11039377289377,14.3,0.0,5.83058608058608,0.0,14.3,5.83058608058608,14.9,0.0,5.96081232492997,0.0,14.9,5.96081232492997
14.6,0.0,6.08584706959707,0.0,14.6,6.08584706959707,15.2,0.0,5.98679075826135,0.0,15.2,5.98679075826135,14.7,0.0,5.9458836996337,0.0,14.7,5.9458836996337,15.5,0.0,5.94086520505638,0.0,15.5,5.94086520505638,14.9,0.0,5.90511904761905,0.0,14.9,5.90511904761905,15.2,0.0,5.95878905408317,0.0,15.2,5.95878905408317,15.2,0.0,6.02138009049774,0.0,15.2,6.02138009049774,15.1,0.0,6.03269257703081,0.0,15.1,6.03269257703081,15.0,0.0,6.07987637362637,0.0,15.0,6.07987637362637,14.6,0.0,5.89642857142857,0.0,14.6,5.89642857142857,15.2,0.0,6.00902661064426,0.0,15.2,6.00902661064426
