forward_num_scale_length_10000,reverse_num_scale_length_10000,forward_rate_scale_length_10000,reverse_rate_scale_length_10000,organism_num_scale_length_10000,organism_rate_scale_length_10000,forward_num_scale_length_1000,reverse_num_scale_length_1000,forward_rate_scale_length_1000,reverse_rate_scale_length_1000,organism_num_scale_length_1000,organism_rate_scale_length_1000,forward_num_scale_length_100,reverse_num_scale_length_100,forward_rate_scale_length_100,reverse_rate_scale_length_100,organism_num_scale_length_100,organism_rate_scale_length_100,forward_num_scale_length_10,reverse_num_scale_length_10,forward_rate_scale_length_10,reverse_rate_scale_length_10,organism_num_scale_length_10,organism_rate_scale_length_10
929.1,0.0,6.08236292421069,0.0,929.1,6.08236292421069,998.4,0.0,5.41286575739825,0.0,998.4,5.41286575739825,998.3,0.0,5.05444696875933,0.0,998.3,5.05444696875933,997.8,0.0,4.80048223923366,0.0,997.8,4.80048223923366
938.6,0.0,6.08230242943818,0.0,938.6,6.08230242943818,998.4,0.0,5.43438069750363,0.0,998.4,5.43438069750363,998.1,0.0,5.06390025262832,0.0,998.1,5.06390025262832,998.4,0.0,4.80549918656131,0.0,998.4,4.80549918656131
942.2,0.0,6.09526036421197,0.0,942.2,6.09526036421197,997.8,0.0,5.44440824699263,0.0,997.8,5.44440824699263,998.3,0.0,5.07023377894156,0.0,998.3,5.07023377894156,998.6,0.0,4.79811590916871,0.0,998.6,4.79811590916871
947.9,0.0,6.10815069645312,0.0,947.9,6.10815069645312,998.2,0.0,5.42603680588668,0.0,998.2,5.42603680588668,998.4,0.0,5.06216435911975,0.0,998.4,5.06216435911975,998.2,0.0,4.82506213719,0.0,998.2,4.82506213719
949.6,0.0,6.09651410725487,0.0,949.6,6.09651410725487,998.6,0.0,5.42290343450668,0.0,998.6,5.42290343450668,997.9,0.0,5.07322954594728,0.0,997.9,5.07322954594728,998.2,0.0,4.81892070385591,0.0,998.2,4.81892070385591
952.6,0.0,6.11049809148579,0.0,952.6,6.11049809148579,997.8,0.0,5.44930026755421,0.0,997.8,5.44930026755421,998.3,0.0,5.09154026177703,0.0,998.3,5.09154026177703,998.1,0.0,4.81328660958452,0.0,998.1,4.81328660958452
974.4,0.0,6.09736337861409,0.0,974.4,6.09736337861409,998.1,0.0,5.452888233142,0.0,998.1,5.452888233142,998.1,0.0,5.10940613530075,0.0,998.1,5.10940613530075,998.2,0.0,4.8144598065683,0.0,998.2,4.8144598065683
982.0,0.0,6.10269225525539,0.0,982.0,6.10269225525539,998.4,0.0,5.45716168869657,0.0,998.4,5.45716168869657,998.4,0.0,5.1284814141603,0.0,998.4,5.1284814141603,998.5,0.0,4.79852697826399,0.0,998.5,4.79852697826399
979.4,0.0,6.10576492035156,0.0,979.4,6.10576492035156,998.4,0.0,5.45880847943619,0.0,998.4,5.45880847943619,998.2,0.0,5.10259805456437,0.0,998.2,5.10259805456437,998.0,0.0,4.80210620316338,0.0,998.0,4.80210620316338
981.9,0.0,6.12226042879767,0.0,981.9,6.12226042879767,998.2,0.0,5.44220107257687,0.0,998.2,5.44220107257687,998.4,0.0,5.11408252724014,0.0,998.4,5.11408252724014,998.6,0.0,4.82016184521195,0.0,998.6,4.82016184521195
987.2,0.0,6.13971017323755,0.0,987.2,6.13971017323755,998.3,0.0,5.44358768430282,0.0,998.3,5.44358768430282,998.6,0.0,5.13099612638691,0.0,998.6,5.13099612638691,998.3,0.0,4.83273096625025,0.0,998.3,4.83273096625025
984.1,0.0,6.14008587289834,0.0,984.1,6.14008587289834,998.5,0.0,5.45109087042955,0.0,998.5,5.45109087042955,998.5,0.0,5.10835344362398,0.0,998.5,5.10835344362398,998.4,0.0,4.84249780802726,0.0,998.4,4.84249780802726
994.3,0.0,6.13109289044598,0.0,994.3,6.13109289044598,998.3,0.0,5.43020300146846,0.0,998.3,5.43020300146846,998.0,0.0,5.10176589351735,0.0,998.0,5.10176589351735,998.4,0.0,4.83905988991506,0.0,998.4,4.83905988991506
995.5,0.0,6.14779739423906,0.0,995.5,6.14779739423906,998.6,0.0,5.41567800265195,0.0,998.6,5.41567800265195,998.0,0.0,5.09545641202435,0.0,998.0,5.09545641202435,998.2,0.0,4.8480150732861,0.0,998.2,4.8480150732861
994.3,0.0,6.13699207117561,0.0,994.3,6.13699207117561,998.3,0.0,5.43468111742032,0.0,998.3,5.43468111742032,998.2,0.0,5.08614266353661,0.0,998.2,5.08614266353661,998.0,0.0,4.83844318130797,0.0,998.0,4.83844318130797
993.1,0.0,6.13726842484545,0.0,993.1,6.13726842484545,998.2,0.0,5.41906192287045,0.0,998.2,5.41906192287045,998.3,0.0,5.07579472677341,0.0,998.3,5.07579472677341,998.4,0.0,4.81877831614808,0.0,998.4,4.81877831614808
993.4,0.0,6.14733857741505,0.0,993.4,6.14733857741505,998.5,0.0,5.43094024672327,0.0,998.5,5.43094024672327,998.5,0.0,5.06665629762848,0.0,998.5,5.06665629762848,997.5,0.0,4.82948349365171,0.0,997.5,4.82948349365171
997.5,0.0,6.13154377891128,0.0,997.5,6.13154377891128,998.4,0.0,5.42762180646465,0.0,998.4,5.42762180646465,998.3,0.0,5.05164273494947,0.0,998.3,5.05164273494947,998.0,0.0,4.83080282470196,0.0,998.0,4.83080282470196
993.8,0.0,6.1445851157639,0.0,993.8,6.1445851157639,998.4,0.0,5.43930130062525,0.0,998.4,5.43930130062525,998.4,0.0,5.06920577892522,0.0,998.4,5.06920577892522,997.9,0.0,4.8706519351333,0.0,997.9,4.8706519351333
994.0,0.0,6.15199437396788,0.0,994.0,6.15199437396788,998.3,0.0,5.43763390800082,0.0,998.3,5.43763390800082,998.4,0.0,5.05408835307107,0.0,998.4,5.05408835307107,998.1,0.0,4.88906536942768,0.0,998.1,4.88906536942768
996.9,0.0,6.15019289172074,0.0,996.9,6.15019289172074,998.1,0.0,5.42219411871012,0.0,998.1,5.42219411871012,998.7,0.0,5.02794477844578,0.0,998.7,5.02794477844578,998.1,0.0,4.89509995731496,0.0,998.1,4.89509995731496
992.3,0.0,6.14243266568546,0.0,992.3,6.14243266568546,998.3,0.0,5.41385445038649,0.0,998.3,5.41385445038649,998.4,0.0,5.03775158003936,0.0,998.4,5.03775158003936,997.9,0.0,4.88075874223093,0.0,997.9,4.88075874223093
994.9,0.0,6.14699491255827,0.0,994.9,6.14699491255827,998.1,0.0,5.39651975501237,0.0,998.1,5.39651975501237,998.3,0.0,5.04667243358478,0.0,998.3,5.04667243358478,998.0,0.0,4.87989152797836,0.0,998.0,4.87989152797836
997.6,0.0,6.14277875568908,0.0,997.6,6.14277875568908,998.4,0.0,5.39066754600171,0.0,998.4,5.39066754600171,998.5,0.0,5.04864926131793,0.0,998.5,5.04864926131793,998.0,0.0,4.86715896430884,0.0,998.0,4.86715896430884
