forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate,forward_num,reverse_num,forward_rate,reverse_rate,organism_num,organism_rate
52,46,6.26923076923077,5.91304347826087,98,6.10204081632653,55,41,6.32727272727273,6.17073170731707,96,6.26041666666667,47,49,6.34042553191489,5.97959183673469,96,6.15625
52,43,6.26923076923077,5.88372093023256,95,6.09473684210526,53,40,6.49056603773585,6.125,93,6.33333333333333,47,48,6.34042553191489,5.91666666666667,95,6.12631578947368
51,43,6.29411764705882,5.88372093023256,94,6.1063829787234,52,40,6.51923076923077,6.125,92,6.34782608695652,46,47,6.26086956521739,5.87234042553191,93,6.06451612903226
54,45,6.46296296296296,5.73333333333333,99,6.13131313131313,55,43,6.50909090909091,6.11627906976744,98,6.33673469387755,50,49,6.44,5.81632653061224,99,6.13131313131313
57,41,6.57894736842105,5.82926829268293,98,6.26530612244898,58,41,6.67241379310345,6.34146341463415,99,6.53535353535354,51,48,6.56862745098039,6.04166666666667,99,6.31313131313131
57,41,6.57894736842105,6.07317073170732,98,6.36734693877551,57,41,6.71929824561404,6.36585365853659,98,6.57142857142857,50,49,6.7,6.26530612244898,99,6.48484848484848
57,40,6.57894736842105,6.0,97,6.34020618556701,56,41,6.67857142857143,6.73170731707317,97,6.70103092783505,48,48,6.79166666666667,6.45833333333333,96,6.625
59,40,6.61016949152542,6.175,99,6.43434343434343,58,37,6.75862068965517,6.72972972972973,95,6.74736842105263,48,47,6.89583333333333,6.46808510638298,95,6.68421052631579
57,42,6.64912280701754,5.92857142857143,99,6.34343434343434,61,37,6.73770491803279,6.51351351351351,98,6.6530612244898,53,46,6.67924528301887,6.41304347826087,99,6.55555555555556
54,43,6.61111111111111,5.95348837209302,97,6.31958762886598,61,36,6.73770491803279,6.44444444444444,97,6.62886597938144,51,45,6.56862745098039,6.42222222222222,96,6.5
54,43,6.59259259259259,6.04651162790698,97,6.35051546391753,59,35,6.69491525423729,6.51428571428571,94,6.62765957446809,52,44,6.59615384615385,6.27272727272727,96,6.44791666666667
53,44,6.58490566037736,6.11363636363636,97,6.37113402061856,58,34,6.68965517241379,6.76470588235294,92,6.71739130434783,50,43,6.58,6.25581395348837,93,6.43010752688172
